Gene symbol	B cells naive	T cells CD8	NK cells resting	Monocytes
STAP1	3534.504408	112.0597302	299.8706305	21.15804952
STEAP4	4.42067119	4.832288844	8.756230575	111.873397
STXBP6	16.73521702	16.13910899	10.56909	12.89610083
TARDBPP1	42.03948876	20.13104889	13.59143299	9.112054424
TBX21	504.1990666	1658.322072	4208.888552	273.2767975
TCF7	32.1556293	3170.404097	415.1493446	18.65570294
TCL1A	12117.94539	106.739179	104.9994128	161.4604075
TEC	11.26237461	11.99089142	20.22252914	16.29861436
TEP1	13.00060521	98.35605225	181.4004368	16.10571842
TGM5	60.12655552	47.8969765	56.85336746	64.53380501
TLR2	81.54272739	120.5282543	138.3345347	4560.185304
TLR7	49.81426014	7.997221294	31.8438018	570.6516022
TLR8	7.582193721	5.70074897	5.825720142	1522.070253
TMEM156	574.4981382	168.0820865	138.8828404	23.45170307
TMEM255A	64.48080982	38.72072177	49.63841616	66.84987758
TNFAIP6	267.9179363	81.29435266	123.7740746	233.4391136
TNFRSF10C	44.84631996	27.03922751	20.06638784	237.9058901
TNFRSF11A	50.02783296	9.855680429	86.12792797	17.83610862
TNFRSF13B	502.6927279	181.9551888	227.5044918	188.0078881
TNFRSF17	22.5997525	13.81523144	12.50971798	10.1098504
TNFRSF4	15.01956589	18.71047795	195.89287	17.76981387
TNFSF14	10.0823446	92.31649554	362.1020637	35.07227527
TNIP3	14.12983303	70.50041584	18.25984636	14.52350675
TPSAB1	1102.29779	376.0368021	465.2204213	543.6290931
TRAC	572.5113556	13721.45552	815.6846136	208.9784165
TRAF4	194.7986362	27.41737791	54.5480586	28.30245079
TRAT1	13.5847049	816.7413233	25.38745132	6.845897848
TRAV12-2	13.14017301	225.3780296	11.08896426	10.63253287
TRAV13-1	88.73958185	463.1984082	42.45202479	29.72104173
TRAV13-2	72.69074036	369.2792078	44.35066443	56.85541485
TRAV21	119.891114	439.3576224	55.8763643	51.31601583
TRAV8-6	24.5564624	244.1129158	18.30217166	34.39428346
TRAV9-2	60.43870697	220.3744213	56.17040361	47.77691068
TRBC1	575.8478308	8923.922332	4520.50562	78.94320693
TRDC	88.17850315	3014.575466	10797.21174	61.01801703
TREM1	415.2301184	102.2864477	79.85743138	1775.188919
TREM2	17.00788201	16.18514962	13.80468131	24.23855513
TREML2	70.53816317	23.09902116	55.01920603	40.72889444
TRIB2	1848.219528	1138.062023	1307.778436	123.0323791
TRPM4	7.691250656	7.796755019	7.443654876	18.36114786
TRPM6	45.92245257	25.76719358	22.10779339	35.69642216
TSHR	19.81562324	11.64652927	20.15779147	14.29339998
TTC38	24.85041048	374.209498	2894.462666	105.6462644
TXK	309.7698509	676.0594416	1564.533681	62.96991111
TYR	15.49172903	10.627147	71.99864479	14.06800259
UBASH3A	10.12600478	876.3804334	6.038374156	6.105136566
UGT1A8	680.5299008	82.13823081	78.13378227	91.50678971
UGT2B17	29.46022982	3.976053906	4.743273044	7.244351309
UPK3A	15.1818271	10.97861145	10.8839878	215.8718015
VILL	29.52223049	434.2235247	215.5413192	97.78124023
VNN1	22.95842907	12.26655159	62.57962649	1024.700138
VNN2	64.9845649	445.4839483	600.7634958	3300.115435
VNN3	30.92999926	13.07856517	22.08322245	187.5997533
VPREB3	3778.568055	89.69557529	126.7365483	136.159858
WNT5B	11.75096777	10.61879975	6.098592957	15.97840064
WNT7A	12.86019319	101.4088521	11.09709075	56.25300857
ZAP70	13.7050941	3230.539852	4781.948859	38.05970681
ZBP1	35.84871042	149.2911945	499.9477503	24.54237397
ZBTB10	152.6895498	99.88073058	122.4353858	62.01375558
ZBTB32	9.857216379	27.83511	16.3475771	10.52648555
ZFP36L2	923.602815	3227.833526	915.0156182	1341.516598
ZNF135	94.28786122	64.5605419	151.1023562	3.860059178
ZNF165	6.421545431	3.190692616	7.023083197	2.66873461
ZNF204P	77.87689746	151.9597341	37.01330204	29.90974572
ZNF222	9.800664188	71.91125741	92.27882159	19.8606097
ZNF286A	737.8599039	218.2270364	225.4077006	11.04393742
ZNF324	28.21199417	32.01125825	44.94117978	28.71444884
ZNF442	19.71319664	32.11029942	21.77015125	12.30022875
